,Unnamed: 0,Batter_Name,bowler.type,Runs,BallsFaced,StrikeRate
840,841,Rishi Dhawan,Slow left arm orthodox,2,12,16.67
841,842,Riyan Parag,Left arm wrist spin,63,40,157.5
842,843,Riyan Parag,Left arm pace,141,101,139.6
843,844,Riyan Parag,Leg spin,98,88,111.36
844,845,Riyan Parag,Off spin,29,29,100.0
845,846,Riyan Parag,Right arm pace,485,312,155.45
846,847,Riyan Parag,Slow left arm orthodox,111,96,115.62
847,848,Rovman Powell,Left arm wrist spin,2,2,100.0
848,849,Rovman Powell,Left arm pace,67,38,176.32
849,850,Rovman Powell,Leg spin,47,52,90.38
850,851,Rovman Powell,Off spin,65,40,162.5
851,852,Rovman Powell,Right arm pace,175,105,166.67
852,853,Rovman Powell,Slow left arm orthodox,4,8,50.0
853,854,Rachin Ravindra,Left arm pace,50,35,142.86
854,855,Rachin Ravindra,Leg spin,25,10,250.0
855,856,Rachin Ravindra,Off spin,19,20,95.0
856,857,Rachin Ravindra,Right arm pace,115,62,185.48
857,858,Rachin Ravindra,Slow left arm orthodox,13,11,118.18
858,859,R Sai Kishore,Right arm pace,13,6,216.67
859,860,Sanjay Yadav,Right arm pace,0,2,0.0
860,861,Romario Shepherd,Left arm pace,8,7,114.29
861,862,Romario Shepherd,Leg spin,18,12,150.0
862,863,Romario Shepherd,Off spin,6,8,75.0
863,864,Romario Shepherd,Right arm pace,83,34,244.12
864,865,Romario Shepherd,Slow left arm orthodox,0,2,0.0
865,866,Rahul Tewatia,Left arm wrist spin,6,11,54.55
866,867,Rahul Tewatia,Left arm pace,110,61,180.33
867,868,Rahul Tewatia,Leg spin,69,49,140.82
868,869,Rahul Tewatia,Off spin,47,43,109.3
869,870,Rahul Tewatia,Right arm pace,386,282,136.88
870,871,Rahul Tewatia,Slow left arm orthodox,29,34,85.29
871,872,Raj Bawa,Leg spin,1,4,25.0
872,873,Raj Bawa,Off spin,8,6,133.33
873,874,Raj Bawa,Right arm pace,2,4,50.0
874,875,Ravindra Jadeja,Left arm wrist spin,13,9,144.44
875,876,Ravindra Jadeja,Left arm pace,167,110,151.82
876,877,Ravindra Jadeja,Leg spin,99,99,100.0
877,878,Ravindra Jadeja,Off spin,23,27,85.19
878,879,Ravindra Jadeja,Right arm pace,475,304,156.25
879,880,Ravindra Jadeja,Slow left arm orthodox,23,27,85.19
880,881,Rahul Tripathi,Left arm wrist spin,4,5,80.0
881,882,Rahul Tripathi,Left arm pace,191,139,137.41
882,883,Rahul Tripathi,Leg spin,233,158,147.47
883,884,Rahul Tripathi,Off spin,153,103,148.54
884,885,Rahul Tripathi,Right arm pace,540,363,148.76
885,886,Rahul Tripathi,Slow left arm orthodox,127,104,122.12
886,887,Rahul Chahar,Left arm pace,26,18,144.44
887,888,Rahul Chahar,Leg spin,2,7,28.57
888,889,Rahul Chahar,Off spin,4,4,100.0
889,890,Rahul Chahar,Right arm pace,79,73,108.22
890,891,Rahul Chahar,Slow left arm orthodox,1,5,20.0
891,892,Ruturaj Gaikwad,Left arm wrist spin,45,27,166.67
892,893,Ruturaj Gaikwad,Left arm pace,462,335,137.91
893,894,Ruturaj Gaikwad,Leg spin,313,238,131.51
894,895,Ruturaj Gaikwad,Off spin,146,96,152.08
895,896,Ruturaj Gaikwad,Right arm pace,972,725,134.07
896,897,Ruturaj Gaikwad,Slow left arm orthodox,238,154,154.55
897,898,Rohit Sharma,Left arm wrist spin,12,11,109.09
898,899,Rohit Sharma,Left arm pace,245,197,124.37
899,900,Rohit Sharma,Leg spin,154,121,127.27
900,901,Rohit Sharma,Off spin,136,95,143.16
901,902,Rohit Sharma,Right arm pace,698,511,136.59
902,903,Rohit Sharma,Slow left arm orthodox,153,122,125.41
903,904,Richard Gleeson,Left arm pace,2,2,100.0
904,905,Reece Topley,Leg spin,1,2,50.0
905,906,Reece Topley,Right arm pace,2,4,50.0
906,907,Ricky Bhui,Left arm pace,0,2,0.0
907,908,Ricky Bhui,Leg spin,2,3,66.67
908,909,Ricky Bhui,Right arm pace,1,2,50.0
909,910,Ricky Bhui,Slow left arm orthodox,0,2,0.0
910,911,Rinku Singh,Left arm wrist spin,11,13,84.62
911,912,Rinku Singh,Left arm pace,153,81,188.89
912,913,Rinku Singh,Leg spin,94,75,125.33
913,914,Rinku Singh,Off spin,67,74,90.54
914,915,Rinku Singh,Right arm pace,445,269,165.43
915,916,Rinku Singh,Slow left arm orthodox,46,35,131.43
916,917,Rajat Patidar,Left arm wrist spin,13,8,162.5
917,918,Rajat Patidar,Left arm pace,72,64,112.5
918,919,Rajat Patidar,Leg spin,225,103,218.45
919,920,Rajat Patidar,Off spin,79,53,149.06
920,921,Rajat Patidar,Right arm pace,294,195,150.77
921,922,Rajat Patidar,Slow left arm orthodox,107,76,140.79
923,924,Riley Meredith,Right arm pace,0,3,0.0
924,925,Rishabh Pant,Left arm wrist spin,31,23,134.78
925,926,Rishabh Pant,Left arm pace,109,81,134.57
926,927,Rishabh Pant,Leg spin,289,194,148.97
927,928,Rishabh Pant,Off spin,123,128,96.09
928,929,Rishabh Pant,Right arm pace,597,377,158.36
